"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DY24X6mymnN","2026-05-27","thebandaframe","This is so awesome! Keep it up 🔥","This is so awesome! Keep it up 🔥 | 2wReply","1"
"DY24X6mymnN","2026-05-28","latterday_auntie","You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥","You’re doing awesome! Totally sharing this with my nieces & nephews! 🔥 | 2wReply","1"
"DY24X6mymnN","2026-05-27","caitlinspencer24","My oldest and I have been using your app together and we love it!! We both said we’d love some sort of chime or sound effect when you go up in xp and/or finish a chapter ❤️","My oldest and I have been using your app together and we love it!! We both said we’d love some sort of chime or sound effect when you go up in xp and/or finish a chapter ❤️ | 2w3 likesReply","1"
"DY24X6mymnN","2026-05-27","benching365","Bro this is peak, I’m not the best at reading but this helps me a lot to just read it but also have some dopamine haha","Bro this is peak, I’m not the best at reading but this helps me a lot to just read it but also have some dopamine haha | 2w1 likeReply","1"
"DY24X6mymnN","2026-05-28","spencer_hansen12","🔥🔥🔥","🔥🔥🔥 | 2wReply","1"
"DY24X6mymnN","2026-05-27","evanellis___","I’m so hyped dude you’re my goat","I’m so hyped dude you’re my goat | 2w1 likeReply","1"
"DY24X6mymnN","2026-05-27","ryderobray","really appreciate what your doing. I’ve been recommending your app to some friends who are struggling to pick the book up. Keep it up🔥","really appreciate what your doing. I’ve been recommending your app to some friends who are struggling to pick the book up. Keep it up🔥 | 2w2 likesReply","1"
"DY24X6mymnN","2026-05-28","elizabeth.loveridge","I love it!!!","I love it!!! | 2wReply","1"
"DY24X6mymnN","2026-05-28","parkerndent","🔥","🔥 | 2wReply","1"
"DY24X6mymnN","2026-05-28","katie_clark89","Can’t wait for this to be on android for my son!","Can’t wait for this to be on android for my son! | 2w1 likeReply","1"
"DY24X6mymnN","2026-05-29","walk_mann172","Other languages please!! I want to practice my reading comprehension in French with the scriptures!","Other languages please!! I want to practice my reading comprehension in French with the scriptures! | 2w1 likeReply","1"
"DY24X6mymnN","2026-05-28","grigg_samuel","Hey I just downloaded, its great! Keep up the work!","Hey I just downloaded, its great! Keep up the work! | 2wReply","1"
"DY24X6mymnN","2026-06-09","jarquibr","I really want to use it on my pixel (android)","I really want to use it on my pixel (android) | 5dReply","1"
"DY24X6mymnN","2026-05-27","brixleybaker","Is there anything that xp does, or is the number itself a reward","Is there anything that xp does, or is the number itself a reward | 2w2 likesReply","1"
"DY24X6mymnN","2026-06-11","sar.bear.it","I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing","I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing | 3dReply","1"
"DY24X6mymnN","2026-05-27","evanellis___","Let’s goooooooo have you looked at the possibility of a friends system?","Let’s goooooooo have you looked at the possibility of a friends system? | 2w10 likesReply","1"
"DY24X6mymnN","2026-05-29","tanaka.matare.33","It's not on Google","It's not on Google | 2wReply","1"
