"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DY6GFyhylzl","2026-05-30","alanableakley","my friend just got baptised and she's struggling to read the scriptures daily and this would be perfect for her but she has an android","my friend just got baptised and she's struggling to read the scriptures daily and this would be perfect for her but she has an android | 2w9 likesReply","1"
"DY6GFyhylzl","2026-05-29","thebandaframe","You are killing it! 😍","You are killing it! 😍 | 2w2 likesReply","1"
"DY6GFyhylzl","2026-05-29","galaxsus043","When is android?","When is android? | 2w1 likeReply","1"
"DY6GFyhylzl","2026-05-29","luciferslantern","This is genuis. You need to find a way to do this for other books too","This is genuis. You need to find a way to do this for other books too | 2w2 likesReply","1"
"DY6GFyhylzl","2026-05-29","paigeinthewildak","🔥🔥🔥🔥🔥 Keep new things coming please!!🙏","🔥🔥🔥🔥🔥 Keep new things coming please!!🙏 | 2w2 likesReply","1"
"DY6GFyhylzl","2026-05-29","lil_bel.rg","Bro this is AMAZING!🤩","Bro this is AMAZING!🤩 | 2w1 likeReply","1"
"DY6GFyhylzl","2026-05-29","thesircaleb","Yessirrr this update is so peak! Cant wait for dark mode lol","Yessirrr this update is so peak! Cant wait for dark mode lol | 2w1 likeReply","1"
"DY6GFyhylzl","2026-05-30","gustavovarass","Following, hoping you add more languages soon ❤️. Great work","Following, hoping you add more languages soon ❤️. Great work | 2w1 likeReply","1"
"DY6GFyhylzl","2026-05-29","bruthagee","Gold brother 🔥🔥✌🏽","Gold brother 🔥🔥✌🏽 | 2w1 likeReply","1"
"DY6GFyhylzl","2026-05-30","martins_matheus06","I need this app for Android Man, help us!","I need this app for Android Man, help us! | 2w1 likeReply","1"
"DY6GFyhylzl","2026-05-29","traven.coriell","lwk really good, but I kinda want a dark mode","lwk really good, but I kinda want a dark mode | 2w25 likesReply","1"
"DY6GFyhylzl","2026-05-29","acjpbe","Great job, Evan (& Evan’s mom!)","Great job, Evan (& Evan’s mom!) | 2w5 likesReply","1"
"DY6GFyhylzl","2026-05-29","its.spencerwatson","Is D&C in the works by chance??","Is D&C in the works by chance?? | 2w9 likesReply","1"
"DY6GFyhylzl","2026-05-29","elizabeth.loveridge","It’s missing Moroni 7-10","It’s missing Moroni 7-10 | 2w2 likesReply","1"
"DY6GFyhylzl","2026-05-30","ajseavers","When does this come to the Google play store?","When does this come to the Google play store? | 2w7 likesReply","1"
"DY6GFyhylzl","2026-05-29","georgenelson7790","Awesome! Any way you can add notification or have a come follow me scriptures","Awesome! Any way you can add notification or have a come follow me scriptures | 2wReply","1"
"DY6GFyhylzl","2026-05-29","becky6d","When does it come to android?","When does it come to android? | 2w32 likesReply","1"
"DY6GFyhylzl","2026-05-31","alekkiddo","DO IT FOR ANDROID TOOOOOOOOOOOOOOOOOO!! Brazilians need to use it toooo","DO IT FOR ANDROID TOOOOOOOOOOOOOOOOOO!! Brazilians need to use it toooo | 2w1 likeReply","1"
"DY6GFyhylzl","2026-06-12","one_footed_phoenix","Old Testament next?","Old Testament next? | 2dReply","1"
"DY6GFyhylzl","2026-06-10","bethanymaefullmer","Love it!!!","Love it!!! | 3dReply","1"
"DY6GFyhylzl","2026-06-09","finnmiller64","Can we also get a bible additional sometime (that’s probably going to be really long and hard but yea lol)","Can we also get a bible additional sometime (that’s probably going to be really long and hard but yea lol) | 5dReply","1"
"DY6GFyhylzl","2026-06-04","mirteau010","I can’t download it","I can’t download it | 1wReply","1"
"DY6GFyhylzl","2026-06-03","eleanortheduck","ahhhh i need this","ahhhh i need this | 1wReply","1"
"DY6GFyhylzl","2026-06-02","isa_i_saac","How can I find the app link?","How can I find the app link? | 1wReply","1"
"DY6GFyhylzl","2026-06-01","a.doods","On play store?","On play store? | 1wReply","1"
"DY6GFyhylzl","2026-06-01","aubrynstadler","Can you make an audio option so we can listen to the scriptures?","Can you make an audio option so we can listen to the scriptures? | 1wReply","1"
"DY6GFyhylzl","2026-06-01","sophia.rebecca.tipton","I am hyped","I am hyped | 1wReply","1"
"DY6GFyhylzl","2026-06-01","sophia.rebecca.tipton","I JUST DOWNLOADED ITTTTT","I JUST DOWNLOADED ITTTTT | 1wReply","1"
"DY6GFyhylzl","2026-05-31","isaacpeterson02","It’s missing Jacob 4-7 and Moroni 7-10","It’s missing Jacob 4-7 and Moroni 7-10 | 2wReply","1"
"DY6GFyhylzl","2026-05-31","evenodd8725","Would love to send you a DM so that I can help test on Android. Follow me so that I can send you my email.","Would love to send you a DM so that I can help test on Android. Follow me so that I can send you my email. | 2wReply","1"
"DY6GFyhylzl","2026-05-31","awanderingstylist","Love this!","Love this! | 2wReply","1"
"DY6GFyhylzl","2026-05-30","hipowh","Love it! How about Spanish. This could be great for language learners!","Love it! How about Spanish. This could be great for language learners! | 2wReply","1"
"DY6GFyhylzl","2026-05-30","funky__komadina","Please make it for Android","Please make it for Android | 2wReply","1"
"DY6GFyhylzl","2026-05-30","hepworthsamuel","Honestly loving the app!","Honestly loving the app! | 2wReply","1"
"DY6GFyhylzl","2026-05-30","mzboggled","Is it available on android?","Is it available on android? | 2wReply","1"
"DY6GFyhylzl","2026-05-29","sofiamara___","Hey! The app is great. I’m using it and recommending it to everyone here in Uruguay 🇺🇾","Hey! The app is great. I’m using it and recommending it to everyone here in Uruguay 🇺🇾 | 2wReply","1"
"DY6GFyhylzl","2026-05-29","tonystark.aka.ry","I love your app!! I’m curious Will there ever be a Spanish version? I feel like I study well, but I want to use it to study for my mission, so I learn new phrases and I’m going Spanish speaking. 😅🙏","I love your app!! I’m curious Will there ever be a Spanish version? I feel like I study well, but I want to use it to study for my mission, so I learn new phrases and I’m going Spanish speaking. 😅🙏 | 2wReply","1"
"DY6GFyhylzl","2026-05-29","mrxgelo","Do you have for android?","Do you have for android? | 2wReply","1"
"DY6GFyhylzl","2026-05-29","kolobfree","Bro in wich language you put BOM in the app ??? Is available in other languages?","Bro in wich language you put BOM in the app ??? Is available in other languages? | 2wReply","1"
"DY6GFyhylzl","2026-05-29","haleysanders36","Ahhh so exciting!!","Ahhh so exciting!! | 2wReply","1"
