"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DYgEBAIyQow","2026-05-20","philipcalero","Do it for android phones","Do it for android phones | 3wReply","1"
"DYgEBAIyQow","2026-05-19","turnerethen8","i just need it on the google play store","i just need it on the google play store | 3w29 likesReply","1"
"DYgEBAIyQow","2026-05-22","cyberwarior32","can you let me beta test on playstore it says I can't message you","can you let me beta test on playstore it says I can't message you | 3wReply","1"
"DYgEBAIyQow","2026-05-19","bladenhowland","Available for android?","Available for android? | 3w16 likesReply","1"
"DYgEBAIyQow","2026-05-20","kathryngornichec","Love love love! Keep up the great work and keep building out those chapters! Maybe you could add questions or quiz on overall doctrine from each book. Also it would be fun to have a place to put personal notes or inspiration as you build and learn across the BOM","Love love love! Keep up the great work and keep building out those chapters! Maybe you could add questions or quiz on overall doctrine from each book. Also it would be fun to have a place to put personal notes or inspiration as you build and learn across the BOM | 3w2 likesReply","1"
"DYgEBAIyQow","2026-05-19","lydia.prestwich","I cant wait to try it! This is an amazing idea for missionaries!!!","I cant wait to try it! This is an amazing idea for missionaries!!! | 3w3 likesReply","1"
"DYgEBAIyQow","2026-05-20","north.bk","This sounds so hype!!!! I'm also on Android, so looking forward to when that comes out 😉 keep it up man!","This sounds so hype!!!! I'm also on Android, so looking forward to when that comes out 😉 keep it up man! | 3w1 likeReply","1"
"DYgEBAIyQow","2026-05-20","madihillrasmussen","BRILLIANT.","BRILLIANT. | 3wReply","1"
"DYgEBAIyQow","2026-05-24","lola_clairesmith","I know a lot of people have suggestions, but when you can, can you make it where you can highlight the verses? It helps me, and im sure it helps others relate and find things in the scriptures that can connect us to God more because we are searching for them","I know a lot of people have suggestions, but when you can, can you make it where you can highlight the verses? It helps me, and im sure it helps others relate and find things in the scriptures that can connect us to God more because we are searching for them | 3w1 likeReply","1"
"DYgEBAIyQow","2026-05-21","kayden_bird","An amazing nap I love it. You should make an audio as well. That will be so much better. I have a hard time reading that would be amazing","An amazing nap I love it. You should make an audio as well. That will be so much better. I have a hard time reading that would be amazing | 3w1 likeReply","1"
"DYgEBAIyQow","2026-05-28","aliya.gym","Hey I just used the app today! It was great! I think what would also be great in the future would be adding an option for a widget that you can put on your home screen similar to Duolingo, but also eventually adding the bible and doctrine and covenants as well as the pearl of great price. I think that would be wonderful. It is a wonderful app and a fantastic idea! Keep up the great work!!","Hey I just used the app today! It was great! I think what would also be great in the future would be adding an option for a widget that you can put on your home screen similar to Duolingo, but also eventually adding the bible and doctrine and covenants as well as the pearl of great price. I think that would be wonderful. It is a wonderful app and a fantastic idea! Keep up the great work!! | 2wReply","1"
"DYgEBAIyQow","2026-05-19","gavin_ferguson206","Just got it it’s so nice","Just got it it’s so nice | 3w2 likesReply","1"
