"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DYlqlory1sY","2026-05-21","thebandaframe","This is awesome! 😍","This is awesome! 😍 | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-21","linkaynic","I would love to try this","I would love to try this | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-21","maggiereynolds2006","Would love to test your app. Please follow me back","Would love to test your app. Please follow me back | 3w3 likesReply","1"
"DYlqlory1sY","2026-05-21","maggiereynolds2006","Thank you!","Thank you! | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-22","carter_the_good_friend","Dido","Dido | 3wReply","1"
"DYlqlory1sY","2026-05-21","itzes1_","Follow me back I can't DM unless you can't follow me","Follow me back I can't DM unless you can't follow me | 3w2 likesReply","1"
"DYlqlory1sY","2026-05-21","ryanpnielsen","Follow me back so I can DM you","Follow me back so I can DM you | 3w2 likesReply","1"
"DYlqlory1sY","2026-05-21","itzes1_","@ryanpnielsen mee too","@ryanpnielsen mee too | 3wReply | See translation","2"
"DYlqlory1sY","2026-05-21","cyberwarior32","i love this idea book of mormon duolingo I'd love to be a early tester have been wanting for something like this! so excited","i love this idea book of mormon duolingo I'd love to be a early tester have been wanting for something like this! so excited | 3w11 likesReply","1"
"DYlqlory1sY","2026-05-21","crybates111","I'd love to dm to get on list for early Android access, but it won't let me dm☹️","I'd love to dm to get on list for early Android access, but it won't let me dm☹️ | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-22","jeana_bo_beana","LOVE this idea! I downloaded it this morning. I wasn’t able to start where I was in Alma though? It could be user error because I could change my chapter but not the book 🫣 but either way I’m excited to share this with friends!","LOVE this idea! I downloaded it this morning. I wasn’t able to start where I was in Alma though? It could be user error because I could change my chapter but not the book 🫣 but either way I’m excited to share this with friends! | 3w3 likesReply","1"
"DYlqlory1sY","2026-05-22","jeana_bo_beana","Oh I’m glad it wasn’t user error 🫣😂 I can’t wait for you to add more! This is such an exciting thing! Don’t even apologize!","Oh I’m glad it wasn’t user error 🫣😂 I can’t wait for you to add more! This is such an exciting thing! Don’t even apologize! | 3wReply","1"
"DYlqlory1sY","2026-05-21","north.bk","I sent a message ☺️","I sent a message ☺️ | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-21","witzel.kaylee","This is so cool!","This is so cool! | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-21","emoana2006","I sent a DM!","I sent a DM! | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-23","taylor_lds.27","Could you send me please I'm using an Android : taylorsonny27@gmail.com","Could you send me please I'm using an Android : taylorsonny27@gmail.com | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-21","easton_cattaneo","Love it! You should add a widget so we can see our streak straight from our home screens","Love it! You should add a widget so we can see our streak straight from our home screens | 3w24 likesReply","1"
"DYlqlory1sY","2026-05-23","karcynmangum","@easton_cattaneo yessss i agreee","@easton_cattaneo yessss i agreee | 3wReply","1"
"DYlqlory1sY","2026-05-22","amonasano","I want this!!! Follow me back!! Plsss","I want this!!! Follow me back!! Plsss | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-22","jacobsjoshs","Do a dark mode pls","Do a dark mode pls | 3w1 likeReply","1"
"DYlqlory1sY","2026-05-23","njud.son","Yo you should add like a way i can compete with other people… like the leaderboard on duolingo","Yo you should add like a way i can compete with other people… like the leaderboard on duolingo | 3w7 likesReply","1"
"DYlqlory1sY","2026-06-03","jpalmer4040","Can you include PMG and other scriptures?","Can you include PMG and other scriptures? | 1wReply","1"
"DYlqlory1sY","2026-06-01","markykeyser","Please, add me to the tester list!","Please, add me to the tester list! | 1wReply","1"
"DYlqlory1sY","2026-05-30","mountain.summit.learning","Is it available in Canada? We are all iPhone users, but I’m not sure what to look for.","Is it available in Canada? We are all iPhone users, but I’m not sure what to look for. | 2wReply","1"
"DYlqlory1sY","2026-05-30","joshua_tholen","Id love to try it out could you follow me back so I could send you my email?","Id love to try it out could you follow me back so I could send you my email? | 2wReply","1"
"DYlqlory1sY","2026-05-30","rwaltenberg","I want it!","I want it! | 2wReply","1"
"DYlqlory1sY","2026-05-28","layna.c.boone","I would love to try it!","I would love to try it! | 2wReply","1"
"DYlqlory1sY","2026-05-27","kemptonkaylee","I would love to test your app as well!!","I would love to test your app as well!! | 2wReply","1"
"DYlqlory1sY","2026-05-25","bree.brito","Hi! Can't DM you unless you follow me. I would love to test it on Android. (I'm Brazilian btw)","Hi! Can't DM you unless you follow me. I would love to test it on Android. (I'm Brazilian btw) | 2wReply","1"
"DYlqlory1sY","2026-05-25","hoppifam","Ready to test! Add me 😊","Ready to test! Add me 😊 | 2wReply","1"
"DYlqlory1sY","2026-05-23","becky6d","I want to be a tester","I want to be a tester | 3wReply","1"
"DYlqlory1sY","2026-05-23","sloosle","I would love to be an android tester. Sloosle@gmail.com","I would love to be an android tester. Sloosle@gmail.com | 3wReply","1"
"DYlqlory1sY","2026-05-23","skm.morrissey","I'm New here. How is this different from Embark?","I'm New here. How is this different from Embark? | 3wReply","1"
"DYlqlory1sY","2026-05-22","thetorcapson","Sent a DM. this is an awesome idea","Sent a DM. this is an awesome idea | 3wReply","1"
"DYlqlory1sY","2026-05-22","slow.rollerz","I would love to help test tether!!","I would love to help test tether!! | 3wReply","1"
"DYlqlory1sY","2026-05-22","emoana2006","Can you follow me back I'm not sure if it sent the message since you aren't following me","Can you follow me back I'm not sure if it sent the message since you aren't following me | 3wReply","1"
"DYlqlory1sY","2026-05-22","brenefin","Me, me, I'd love this app!!","Me, me, I'd love this app!! | 3wReply","1"
"DYlqlory1sY","2026-05-22","hamah.living.life","I'd love to test it! Is there maybe a setting you could change so anyone following you could send a message?","I'd love to test it! Is there maybe a setting you could change so anyone following you could send a message? | 3wReply","1"
"DYlqlory1sY","2026-05-22","lanceoldham_","Follow back","Follow back | 3wReply","1"
"DYlqlory1sY","2026-05-21","brennen_174","I will test this","I will test this | 3wReply","1"
"DYlqlory1sY","2026-05-21","eiramirakcreations","I want to test","I want to test | 3wReply","1"
"DYlqlory1sY","2026-05-21","eiramirakcreations","I need you to send me a message!!!!","I need you to send me a message!!!! | 3wReply","1"
"DYlqlory1sY","2026-05-21","eiramirakcreations","I'll be a tester","I'll be a tester | 3wReply","1"
"DYlqlory1sY","2026-05-21","emilyandreasendixon","I'd love to try it!!!!!!","I'd love to try it!!!!!! | 3wReply","1"
"DYlqlory1sY","2026-05-21","deulos.theology","Please flee your false prophet and the false Jesus that can’t save you","Please flee your false prophet and the false Jesus that can’t save you | 3wReply","1"
