"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DYs-uCVSADi","2026-05-24","maggiereynolds2006","It helps!","It helps! | 3w1 likeReply","1"
"DYs-uCVSADi","2026-05-24","thebandaframe","We gotta check this out!","We gotta check this out! | 3w1 likeReply","1"
"DYs-uCVSADi","2026-05-24","marleeburge","It says you can't message the account unless it follows you","It says you can't message the account unless it follows you | 3w2 likesReply","1"
"DYs-uCVSADi","2026-05-24","thomasmariowilliams","Good app but widgets would be nice","Good app but widgets would be nice | 3w8 likesReply","1"
"DYs-uCVSADi","2026-05-29","evan.t.larsen","Done!","Done! | 2wReply","1"
"DYs-uCVSADi","2026-05-24","d0t.dotbutt3rfly","I’ve been using it the past couple of days and love it but I’d love to be able to follow along as it’s being read to me as my ADHD makes it hard to focus on what I’m reading and it would be soo cool if we could mark it up in this app also!!","I’ve been using it the past couple of days and love it but I’d love to be able to follow along as it’s being read to me as my ADHD makes it hard to focus on what I’m reading and it would be soo cool if we could mark it up in this app also!! | 3w2 likesReply","1"
"DYs-uCVSADi","2026-05-24","tristen.jensen08","I love this app!!! 🔥","I love this app!!! 🔥 | 3w1 likeReply","1"
"DYs-uCVSADi","2026-05-27","heathershelpfulstories","I would love to try this on android. What a great idea!","I would love to try this on android. What a great idea! | 2w1 likeReply","1"
"DYs-uCVSADi","2026-05-25","tammyschick","I absolutely LOVE this! The questions following in every few verses have made such a difference for me. I’ve read these chapters countless times, but this is the most engaged I’ve ever felt with the details.","I absolutely LOVE this! The questions following in every few verses have made such a difference for me. I’ve read these chapters countless times, but this is the most engaged I’ve ever felt with the details. | I downloaded it 3 days ago and already have a 3-day streak going! As a grown woman with grown kids, I didn’t expect to be this excited about XPs, but I am totally invested.😂 | Staying in the Book of Mormon daily alongside Come, Follow Me can sometimes feel overwhelming. This makes it feel doable, meaningful, and honestly… fun. THANK YOU!!! | 2w2 likesReply","3"
"DYs-uCVSADi","2026-05-28","zaracarrol1","This is so amazing thank you so much ❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥","This is so amazing thank you so much ❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥 | 2w1 likeReply","1"
"DYs-uCVSADi","2026-05-24","kaique_menegon","I’d love to try it on Android 🙏🏻🇧🇷","I’d love to try it on Android 🙏🏻🇧🇷 | 3w3 likesReply","1"
"DYs-uCVSADi","2026-05-28","keala.nez","👏👏","👏👏 | 2wReply","1"
"DYs-uCVSADi","2026-05-25","lil_bel.rg","You’re a mastermind 👏","You’re a mastermind 👏 | 2wReply","1"
"DYs-uCVSADi","2026-05-26","its.spencerwatson","I absolutely love this app. I’m really excited for the next chapters to come out. My only question is will you be making a D&C section. I absolutely love the doctrine and covenants","I absolutely love this app. I’m really excited for the next chapters to come out. My only question is will you be making a D&C section. I absolutely love the doctrine and covenants | 2wReply","1"
"DYs-uCVSADi","2026-05-24","nsglasby","Try reading the bible","Try reading the bible | 3w2 likesReply","1"
"DYs-uCVSADi","2026-06-09","loganjacobson694","Awesome idea man🔥 also nice hang board","Awesome idea man🔥 also nice hang board | 5dReply","1"
"DYs-uCVSADi","2026-05-24","redlady626","Hey, I want to start on 2 nephi but it won’t let me, and there’s no way to go back. I’m cool with it. Just thought you should know. It’s amazing though! You are doing great things","Hey, I want to start on 2 nephi but it won’t let me, and there’s no way to go back. I’m cool with it. Just thought you should know. It’s amazing though! You are doing great things | 3w1 likeReply","1"
"DYs-uCVSADi","2026-05-25","dawsonjessop","Google Play please","Google Play please | 2wReply","1"
"DYs-uCVSADi","2026-06-08","thamailman911","w app, its very smooth and encourages you to keep studying","w app, its very smooth and encourages you to keep studying | 5dReply","1"
"DYs-uCVSADi","2026-05-24","georgenelson7790","I started this like 5 days ago it was going good until I didn’t have internet for the whole day and lost my streak. And it kinda got me unmotivated. Maybe you should add a streak saver or something like that.","I started this like 5 days ago it was going good until I didn’t have internet for the whole day and lost my streak. And it kinda got me unmotivated. Maybe you should add a streak saver or something like that. | 2w2 likesReply","1"
"DYs-uCVSADi","2026-05-24","terri_terrible","Follow me please 🙏 would love to test!!!","Follow me please 🙏 would love to test!!! | 2wReply","1"
"DYs-uCVSADi","2026-05-24","marcarnold25","I feel like this will be interesting","I feel like this will be interesting | 3wReply","1"
"DYs-uCVSADi","2026-05-24","devinspalding","I'll help out with android","I'll help out with android | 3wReply","1"
"DYs-uCVSADi","2026-05-24","cashbreinholt","You should make it so we can do it with friends","You should make it so we can do it with friends | 2wReply","1"
"DYs-uCVSADi","2026-05-26","colinandbethany","Excellent. Just don’t make it look too much like Duolingo. No, there’s no hard and fast rule; trade dress is subjective—because once you get a letter from Duolingo, it will be one-sided. So if a drunk person who can’t read and has bad eyes could possibly be confused, tweak it. That will keep that letter away. Just sayin’ that’s honestly a pretty good legal rule of thumb to go by.","Excellent. Just don’t make it look too much like Duolingo. No, there’s no hard and fast rule; trade dress is subjective—because once you get a letter from Duolingo, it will be one-sided. So if a drunk person who can’t read and has bad eyes could possibly be confused, tweak it. That will keep that letter away. Just sayin’ that’s honestly a pretty good legal rule of thumb to go by. | 2w1 likeReply","1"
"DYs-uCVSADi","2026-05-28","sethgaleshredz","Hey I’m just wondering what the app actually is… do I just like fill in the blanks? “And my father ____” like that?","Hey I’m just wondering what the app actually is… do I just like fill in the blanks? “And my father ____” like that? | 2wReply","1"
"DYs-uCVSADi","2026-05-29","fairon.jensen","@sethgaleshredz it gives you questions over what you read, more like “ what did ____ ask ___ to do??” which I love! I really helps at least me really pay attention to what is going on in every verse","@sethgaleshredz it gives you questions over what you read, more like “ what did ____ ask ___ to do??” which I love! I really helps at least me really pay attention to what is going on in every verse | 2wReply | sethgaleshredz | Ohhh ok that’s awesome | 2w1 likeReply","4"
"DYs-uCVSADi","2026-05-29","sethgaleshredz","Ohhh ok that’s awesome","Ohhh ok that’s awesome | 2w1 likeReply","1"
"DYs-uCVSADi","2026-05-24","becky6d","I'd like to try Android but it won't let me dm you unless your account follows me","I'd like to try Android but it won't let me dm you unless your account follows me | 3wReply","1"
