"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DZA5dIivMv9","2026-05-31","markcark2025","When will this app come to Android?","When will this app come to Android? | 1w12 likesReply","1"
"DZA5dIivMv9","2026-06-08","malekkeller","@markcark2025 yes please 🥺","@markcark2025 yes please 🥺 | 6dReply","1"
"DZA5dIivMv9","2026-05-31","kaique_menegon","🔥🔥","🔥🔥 | 1w1 likeReply","1"
"DZA5dIivMv9","2026-05-31","caprisun816","Awesome!!","Awesome!! | 1w1 likeReply","1"
"DZA5dIivMv9","2026-06-01","tishfiddies1","Awesome man!","Awesome man! | 1wReply","1"
"DZA5dIivMv9","2026-06-01","clairenceofarabia","Gasp I need this for android pleaseeeee","Gasp I need this for android pleaseeeee | 1w1 likeReply","1"
"DZA5dIivMv9","2026-06-01","steph_sdozo","I wish I could show you my little box on my screen right now ❤️","I wish I could show you my little box on my screen right now ❤️ | 1w2 likesReply","1"
"DZA5dIivMv9","2026-06-09","ajcasutt","Guys that was me 🥹","Guys that was me 🥹 | 5dReply","1"
"DZA5dIivMv9","2026-06-02","samhainmorrey","Can you make a tutorial on how to add the widget to your phone screen cuz I can’t figure it out","Can you make a tutorial on how to add the widget to your phone screen cuz I can’t figure it out | 1wReply","1"
"DZA5dIivMv9","2026-06-05","aleabunker","Will it be available in every language?","Will it be available in every language? | 1wReply","1"
"DZA5dIivMv9","2026-06-01","strattonstubbs","Can we get this on Android","Can we get this on Android | 1w1 likeReply","1"
"DZA5dIivMv9","2026-06-01","bennett13598","Add annotations","Add annotations | 1wReply","1"
"DZA5dIivMv9","2026-06-01","jgrayson_p","So Ik that the BOM is on the app but wutabout the bible and D&C could you add those too","So Ik that the BOM is on the app but wutabout the bible and D&C could you add those too | 1wReply","1"
"DZA5dIivMv9","2026-06-03","evanellis___","Hey man just wanted to let you know that 3 nephi 27-4 nephi 1 is labeled incorrectly on the timeline. I would dm you a screenshot but you don’t follow me so I can’t message you lol but shoot me a dm if you want to see because it might be just my end","Hey man just wanted to let you know that 3 nephi 27-4 nephi 1 is labeled incorrectly on the timeline. I would dm you a screenshot but you don’t follow me so I can’t message you lol but shoot me a dm if you want to see because it might be just my end | 1wReply","1"
"DZA5dIivMv9","2026-06-03","dwwashere","Dude, this is fricken sick. I wonder if it’s possible to add a button to leave to gospel library in the same place for more in depth study. Other than that this is an amazing app","Dude, this is fricken sick. I wonder if it’s possible to add a button to leave to gospel library in the same place for more in depth study. Other than that this is an amazing app | 1wReply","1"
