"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DZI0cZgy9xl","2026-06-13","alainalarsen","Awesome","Awesome | 1dReply","1"
"DZI0cZgy9xl","2026-06-03","markcark2025","I am looking forward to this app coming to Android 🔥","I am looking forward to this app coming to Android 🔥 | 1w8 likesReply","1"
"DZI0cZgy9xl","2026-06-11","henrybthayn","Can I test!?","Can I test!? | 3dReply","1"
"DZI0cZgy9xl","2026-06-04","parleyscriver","can i get it please????🙏","can i get it please????🙏 | 1wReply","1"
"DZI0cZgy9xl","2026-06-03","benjhoddy","just gave it a whirl, im hooked!!","just gave it a whirl, im hooked!! | 1w1 likeReply","1"
"DZI0cZgy9xl","2026-06-04","dwwashere","Yo this app is fricken amazing. Carrying through FSY. I was wondering if you could add like a button where it takes you to the gospel library app in the same place for further study??","Yo this app is fricken amazing. Carrying through FSY. I was wondering if you could add like a button where it takes you to the gospel library app in the same place for further study?? | 1w3 likesReply","1"
"DZI0cZgy9xl","2026-06-03","emma._.1516","Is it free","Is it free | 1wReply","1"
"DZI0cZgy9xl","2026-06-03","benjhoddy","yup","yup | 1wReply","1"
"DZI0cZgy9xl","2026-06-04","sophia.rebecca.tipton","How do you change it to dark mode?","How do you change it to dark mode? | 1wReply","1"
"DZI0cZgy9xl","2026-06-04","ambsloveslife","Please send to me for android testing!!!!?!?!","Please send to me for android testing!!!!?!?! | 1w1 likeReply","1"
"DZI0cZgy9xl","2026-06-05","paigeinthewildak","Could there be anyway to link it so that you could high light on your app and have it translate onto the gospel library app? I think it would be neat if they worked together so as you read you can mark it with out having to find it on gospel library. Love the app!","Could there be anyway to link it so that you could high light on your app and have it translate onto the gospel library app? I think it would be neat if they worked together so as you read you can mark it with out having to find it on gospel library. Love the app! | 1wReply","1"
"DZI0cZgy9xl","2026-06-03","a10.ben","Name","Name | 1wReply","1"
"DZI0cZgy9xl","2026-06-04","sophia.rebecca.tipton","@a10.ben tether","@a10.ben tether | 1wReply","1"
"DZI0cZgy9xl","2026-06-04","notshilohnelson","This is wrong","This is wrong | 1w1 likeReply","1"
"DZI0cZgy9xl","2026-06-05","axar.ghost","one thing duolingo has now is a way to block your social media apps until you do your lesson, does your app have smth like that/would you ever add that capability? 👀👀","one thing duolingo has now is a way to block your social media apps until you do your lesson, does your app have smth like that/would you ever add that capability? 👀👀 | 1wReply","1"
"DZI0cZgy9xl","2026-06-04","ace57902","Cults going digital is crasy lol","Cults going digital is crasy lol | 1w2 likesReply","1"
