"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DZVoD5KyCP-","2026-06-08","gustavovarass","Great work 🙌","Great work 🙌 | 5d1 likeReply","1"
"DZVoD5KyCP-","2026-06-09","haylsters2002","I LOVE the saved verses!!!","I LOVE the saved verses!!! | 5d1 likeReply","1"
"DZVoD5KyCP-","2026-06-09","walk_mann172","Other languages please!!🙏🙏 I specifically would LOVE French","Other languages please!!🙏🙏 I specifically would LOVE French | 5d1 likeReply","1"
"DZVoD5KyCP-","2026-06-09","andrewparrella12","It would be cool if there were achievements! This might be really hard but having more BoM related figures, like an image for each chapter or book with the Duolingo style drawing.","It would be cool if there were achievements! This might be really hard but having more BoM related figures, like an image for each chapter or book with the Duolingo style drawing. | 5d1 likeReply","1"
"DZVoD5KyCP-","2026-06-08","sydbug513","Uhhh there is actually a wave to save verses in the lds library app… you can book mark it and save it to journal and you can make as many journals as you want… additionally there’s a collection of annotations you make as well….","Uhhh there is actually a wave to save verses in the lds library app… you can book mark it and save it to journal and you can make as many journals as you want… additionally there’s a collection of annotations you make as well…. | 5d2 likesReply","1"
"DZVoD5KyCP-","2026-06-09","maxwell.r.allen","Yeah but this is a totally different app.","Yeah but this is a totally different app. | 5d3 likesReply","1"
"DZVoD5KyCP-","2026-06-14","isabelle.alvey","This is so awesome!!! 🙌 Notes or comments should come next, or some way where you can go back to verses you’ve already read","This is so awesome!!! 🙌 Notes or comments should come next, or some way where you can go back to verses you’ve already read | 2hReply","1"
"DZVoD5KyCP-","2026-06-08","logan_hyde80","I just got added to the early access!! (I think) I'll report back if I find anything else it needs!","I just got added to the early access!! (I think) I'll report back if I find anything else it needs! | 5d2 likesReply","1"
"DZVoD5KyCP-","2026-06-09","avalynharris_11","Thank you!!","Thank you!! | 5dReply","1"
"DZVoD5KyCP-","2026-06-09","lincolnlogsspam","Your app is awesome","Your app is awesome | 5dReply","1"
"DZVoD5KyCP-","2026-06-11","jacksongenessy","A friend feature","A friend feature | 3dReply","1"
