"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DZYJJ-iBCVM","2026-06-09","markcark2025","It is a good app already in my opinion (Being one of the testers on Android) and it's still in early stages. I hope it will get approved for the Android Appstore because this app can and will generally help to know the Book of Mormon more, investigators, Members or even just people curious of what this book contains. God bless you all, and I can't wait to see this app develop more and more.","It is a good app already in my opinion (Being one of the testers on Android) and it's still in early stages. I hope it will get approved for the Android Appstore because this app can and will generally help to know the Book of Mormon more, investigators, Members or even just people curious of what this book contains. God bless you all, and I can't wait to see this app develop more and more. | 4d5 likesReply","1"
"DZYJJ-iBCVM","2026-06-09","crazycooldud798","Let's go! As one of the beta testers, I'm excited that my family and friends will be able to download it!","Let's go! As one of the beta testers, I'm excited that my family and friends will be able to download it! | 4d3 likesReply","1"
"DZYJJ-iBCVM","2026-06-10","king_cartographer2.0","Thank you! I’m struggling to read it","Thank you! I’m struggling to read it | 4dReply","1"
"DZYJJ-iBCVM","2026-06-14","lisajaneashton","🙌","🙌 | 14hReply","1"
"DZYJJ-iBCVM","2026-06-10","isaac_jayme","🙏🙏🙏","🙏🙏🙏 | 4dReply","1"
"DZYJJ-iBCVM","2026-06-11","kolobfree","Es un desafío que realmente quiero hacer!!! Espero Evan que pronto lo puedas lanzar en diferentes idiomas, la traducción oficial del libro ya está hecha, espero con ansias que lances pronto la app en español, con mi familia nos divertimos con la app. Un abrazo Evan!!!","Es un desafío que realmente quiero hacer!!! Espero Evan que pronto lo puedas lanzar en diferentes idiomas, la traducción oficial del libro ya está hecha, espero con ansias que lances pronto la app en español, con mi familia nos divertimos con la app. Un abrazo Evan!!! | 3dReply","1"
"DZYJJ-iBCVM","2026-06-10","traven.coriell","oh I've already been using it... so hopefully they don't take it away from me 😂","oh I've already been using it... so hopefully they don't take it away from me 😂 | 4d5 likesReply","1"
"DZYJJ-iBCVM","2026-06-11","anna116611","@traven.coriell how tho im stuck on the updates page","@traven.coriell how tho im stuck on the updates page | 3dReply | traven.coriell | oh I'm on of the testers. | 3dReply","4"
"DZYJJ-iBCVM","2026-06-11","traven.coriell","oh I'm on of the testers.","oh I'm on of the testers. | 3dReply","1"
"DZYJJ-iBCVM","2026-06-11","k.row1","Any updates?","Any updates? | 3d1 likeReply","1"
"DZYJJ-iBCVM","2026-06-10","shiftkin7","It's been 24 hours? Any word?","It's been 24 hours? Any word? | 3d3 likesReply","1"
"DZYJJ-iBCVM","2026-06-10","ajdmacho","Hey dude, love this. You got way I can support this?","Hey dude, love this. You got way I can support this? | 4dReply","1"
"DZYJJ-iBCVM","2026-06-10","jarquibr","Any update here?","Any update here? | 3dReply","1"
"DZYJJ-iBCVM","2026-06-14","jarquibr","Dang! Anyway I can test it out? I am going on a mission and it would be so awesome to use it before it","Dang! Anyway I can test it out? I am going on a mission and it would be so awesome to use it before it | 2hReply","1"
"DZYJJ-iBCVM","2026-06-11","sar.bear.it","I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing","I want the app to show my total days. Not start over every 7 days. I want to show I have been going for 14+. Days without missing | 3d3 likesReply","1"
"DZYJJ-iBCVM","2026-06-09","ed_onysh","Read the word of God, not the word of men","Read the word of God, not the word of men | 4d12 likesReply","1"
"DZYJJ-iBCVM","2026-06-09","paxtonlighthall","@ed_onysh that’s funny","@ed_onysh that’s funny | 4d3 likesReply | king_cartographer2.0 | @ed_onysh The Book of Mormon is another Testament of Jesus Christ along with The Bible | 4d11 likesReply | ed_onysh | @king_cartographer2.0 a testament of Jesus Christ?😂😂 | 4dReply | View replies (5)","8"
"DZYJJ-iBCVM","2026-06-10","king_cartographer2.0","@ed_onysh The Book of Mormon is another Testament of Jesus Christ along with The Bible","@ed_onysh The Book of Mormon is another Testament of Jesus Christ along with The Bible | 4d11 likesReply","1"
"DZYJJ-iBCVM","2026-06-10","ed_onysh","@king_cartographer2.0 a testament of Jesus Christ?😂😂","@king_cartographer2.0 a testament of Jesus Christ?😂😂 | 4dReply","1"
"DZYJJ-iBCVM","2026-06-12","alectheswimmer","I love this app idea. May I suggest an addition? It would be really cool if you could pick which book of scripture you want to track, like switching from the BOM to the Bible or POGP. This would be such a good study help with the come follow me material to stay on track and would be really cool.","I love this app idea. May I suggest an addition? It would be really cool if you could pick which book of scripture you want to track, like switching from the BOM to the Bible or POGP. This would be such a good study help with the come follow me material to stay on track and would be really cool. | 2d1 likeReply","1"
"DZYJJ-iBCVM","2026-06-12","hollylulita","I can help I have Android","I can help I have Android | 2dReply","1"
