"post_id","timestamp","username","comment","comment_full","extra_lines_count"
"DZqm15-PW3N","2026-06-17","lil_bel.rg","This is sooo cool, btw I have a 22 streak already 💕","This is sooo cool, btw I have a 22 streak already 💕 | 3w2 likesReply","1"
"DZqm15-PW3N","2026-06-22","mrs.spencer23","This is the coolest thing 🔥 I've always wanted something like this! Also I'm a developer too!! We should connect!!","This is the coolest thing 🔥 I've always wanted something like this! Also I'm a developer too!! We should connect!! | 3wReply","1"
"DZqm15-PW3N","2026-06-17","macythetorrie","I love this app! Just hit 30 days","I love this app! Just hit 30 days | 3wReply","1"
"DZqm15-PW3N","2026-06-17","cam_haymore","Please add that! I just lost my 14 day streak and I remembered at 12:08 am😭","Please add that! I just lost my 14 day streak and I remembered at 12:08 am😭 | 3w7 likesReply","1"
"DZqm15-PW3N","2026-06-17","killjoy4204","I need a notification the moment it's on Android I'm so excited for it","I need a notification the moment it's on Android I'm so excited for it | 3w2 likesReply","1"
"DZqm15-PW3N","2026-06-17","karihaueter","Yessss! 🙌 I was hoping you’d add streak freezes! Tether is the best app I’ve ever put on my phone, keep up the good work 👏","Yessss! 🙌 I was hoping you’d add streak freezes! Tether is the best app I’ve ever put on my phone, keep up the good work 👏 | 3wReply","1"
"DZqm15-PW3N","2026-06-26","themainhailey","Would love if the freezes stacked up on each other, so that if I don’t use it after each 10 days, I can store up some freezes for when I need them","Would love if the freezes stacked up on each other, so that if I don’t use it after each 10 days, I can store up some freezes for when I need them | 2w1 likeReply","1"
"DZqm15-PW3N","2026-06-17","makalynn_m","You should make it so you can manually mark that streak, my problem is I am a night owl so I always miss my streaks and your right it really does make you feel like a failure. But adding this feature would be so nice because if people are offline camping or on a cruise and can't connect to wifi they can read a verse or so each day the old fashioned way but not have that stress of not being able to do anything about a couple days or streak, speaking from experience of losing a 700 day streak on Duolingo. Other apps that have this feature are the reading fable app. Anyways just a thought ♥️","You should make it so you can manually mark that streak, my problem is I am a night owl so I always miss my streaks and your right it really does make you feel like a failure. But adding this feature would be so nice because if people are offline camping or on a cruise and can't connect to wifi they can read a verse or so each day the old fashioned way but not have that stress of not being able to do anything about a couple days or streak, speaking from experience of losing a 700 day streak on Duolingo. Other apps that have this feature are the reading fable app. Anyways just a thought ♥️ | 3w1 likeReply","1"
"DZqm15-PW3N","2026-06-17","jay_stod","Please make it available for Android 🙏","Please make it available for Android 🙏 | 3w7 likesReply","1"
"DZqm15-PW3N","2026-06-17","jarendekker29","Go to his page and watch his last couple reels, he’s working on it they just have him stuck in approval limbo lol","Go to his page and watch his last couple reels, he’s working on it they just have him stuck in approval limbo lol | 3w1 likeReply | evan.builds.tether | @jarendekker29 yeaaaa… 😭 | 3w1 likeReply","4"
"DZqm15-PW3N","2026-06-17","thechacoking","Dude I love this! In the future- maybe the far future- maybe integrate it with the LDS language Dulingo called Embark? I think it would go extremely well with this!","Dude I love this! In the future- maybe the far future- maybe integrate it with the LDS language Dulingo called Embark? I think it would go extremely well with this! | 3wReply","1"
"DZqm15-PW3N","2026-06-17","kylerspencer2","I literally lost my tether streak yesterday 😢","I literally lost my tether streak yesterday 😢 | 3w1 likeReply","1"
